trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
199,False,"{'a': 0.5, 'e': 0.13669542544552385}",20,0,10.253327693270686,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
200,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,9,-3.172587319559921,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13398867466880493}",25,12,2.1400833381418707,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13265546508012172}",20,8,22.65371605064285,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13133552114849303}",25,17,16.066078402654668,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.1300287108784259}",20,0,-0.8364631070541724,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
205,False,"{'a': 0.5, 'e': 0.12873490358780423}",20,6,24.316422450898077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12745396989482075}",20,5,-24.776383115869915,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.5, 'e': 0.12618578170503877}",25,16,15.114507091362258,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12493021219858241}",20,5,15.579685465386675,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12368713581745483}",20,6,19.792148990389695,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.1224564282529819}",25,5,-14.563562507660464,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.12123796643338168}",25,10,29.071841039120983,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.12003162851145673}",20,0,29.69565593250927,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.5, 'e': 0.11883729385240965}",30,14,27.02771201869428,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11765484302177918}",30,12,23.604556550422863,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11648415777349697}",20,12,4.512492805528214,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.11532512103806251}",20,3,16.009846250313412,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.1141776169108365}",20,0,-0.8659635539444224,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
218,False,"{'a': 0.5, 'e': 0.11304153064044985}",30,13,21.397498370452467,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11191674861732888}",20,16,8.581223074397977,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,18,13.333581974080058,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10970064851551141}",20,8,20.830149798101136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.10860910882495796}",20,0,28.396745685541635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.5, 'e': 0.10752843013579495}",25,4,30.96479381675639,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.1064585043792528}",30,20,17.01414646930611,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.10539922456186433}",35,13,42.31880719316163,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.104350484754765}",30,12,-7.361340003885327,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
227,False,"{'a': 0.5, 'e': 0.1033121800831002}",30,7,7.983552302993871,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10228420671553744}",20,14,14.365862618607236,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.1012664618538834}",20,10,17.710608992190675,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.1002588437228037}",20,13,12.866708433426941,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09926125155964566}",20,11,14.68491443517988,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09827358560436154}",25,18,12.899661811529919,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09729574708953276}",30,7,23.872358046612483,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09632763823049303}",25,20,9.148971227086353,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09536916221554961}",20,0,8.893773828664093,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
236,False,"{'a': 0.5, 'e': 0.09442022319630235}",30,0,49.68438541293326,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
237,False,"{'a': 0.5, 'e': 0.09348072627805847}",25,0,-13.44595274581352,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
238,False,"{'a': 0.5, 'e': 0.09255057751034329}",30,18,22.6129123026181,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.09162968387750484}",25,14,9.703964829458503,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.09071795328941251}",20,14,10.14338434786457,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08981529457224763}",20,16,5.731287411804492,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08892161745938634}",25,10,26.131573016339875,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08803683258237255}",25,14,21.95858423533904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.0871608514619813}",35,18,35.63947176176063,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.0862935864993705}",20,7,23.529520382004613,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08543495096732123}",25,7,18.49386214635337,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.08458485900156469}",25,8,33.14901442848756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.08374322559219596}",20,15,9.88137143728197,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08290996657517266}",25,11,22.579003096784394,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,10,6.112976465084945,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.08126823924089167}",20,16,7.702182366714837,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.08045960674953244}",20,14,-0.019306234064706995,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07965902028589801}",20,7,22.880991142615134,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.07886639979067495}",20,0,-22.13631353314965,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
255,False,"{'a': 0.5, 'e': 0.07808166600115313}",20,14,11.86411617930107,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.07730474044329974}",20,15,8.507806264711194,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.07653554542391151}",25,18,14.504494702777471,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.07577400402284548}",20,11,15.638516273496666,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.07502004008532698}",25,12,24.999751414059677,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07427357821433388}",25,11,23.63193907143288,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.0735345437630571}",20,12,3.6357328462514604,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.07280286282743559}",25,16,16.831075319626326,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
